ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1784245200,2026-07-16,1,14.633333333333333,0.2885375494071146,2.9667348360457293,BUILDING,OVERNIGHT,36.5,21.95,43.9,29125.25,29090.25,-35.0,-71.5,STOP,4.7,0.75,0.456643186786495,0.029736564631381204
1784246400,2026-07-17,1,14.833333333333334,0.2219679633867277,2.098308793058368,BUILDING,OVERNIGHT,24.25,22.25,44.5,29121.0,29098.0,-23.0,-47.5,STOP,0.9,3.0,0.46915374677002586,-0.0005965796663360783
1784246820,2026-07-17,-1,17.95,0.3087719298245614,-2.139846184620083,BUILDING,OVERNIGHT,-44.0,26.925,53.85,29060.5,29006.65,53.85,106.2,TARGET,23.1,67.0,0.4453542185831257,0.07248261585132845
1784248500,2026-07-17,-1,16.0,0.4942528735632184,-6.146104493267684,CLEAN-TREND,OVERNIGHT,-53.75,24.0,48.0,29001.5,29025.75,-24.25,-50.0,STOP,8.7,18.75,0.49218289085545724,0.02977861895019223
1784249400,2026-07-17,1,14.0,0.4615384615384615,2.5325388894893752,CLEAN-TREND,OVERNIGHT,51.0,21.0,42.0,29053.5,29095.5,42.0,82.5,TARGET,11.3,53.0,0.48491773308957953,-0.012198932004761114
1784251980,2026-07-17,-1,15.333333333333334,0.2757009345794392,-4.244520998894869,BUILDING,OVERNIGHT,-29.5,23.0,46.0,28998.5,28952.5,46.0,90.5,TARGET,13.5,83.5,0.45207042712748613,0.08857460616253063
1784254680,2026-07-17,-1,10.816666666666666,0.4501718213058419,-2.807749432122064,BUILDING,OVERNIGHT,-32.75,16.225,32.45,28946.25,28913.8,32.45,63.4,TARGET,15.1,52.5,0.4666788387803542,-0.002642695954403571
1784258520,2026-07-17,1,9.083333333333334,0.9242424242424242,4.598763391605279,BUILDING,OVERNIGHT,61.0,13.625,27.25,29015.25,29001.25,-14.0,-29.5,STOP,1.6,11.25,0.515386959171237,-0.016474720176804396
1784259600,2026-07-17,-1,13.25,0.3953488372093023,-2.342560804551076,BUILDING,OVERNIGHT,-46.75,19.875,39.75,28955.5,28915.75,39.75,78.0,TARGET,15.2,181.75,0.4576528035022731,0.09585445211183022
1784266440,2026-07-17,-1,14.166666666666666,0.446064139941691,-4.332138606256367,CLEAN-TREND,OVERNIGHT,-38.25,21.25,42.5,28772.5,28730.0,42.5,83.5,TARGET,8.7,50.5,0.4481691593604951,0.09165547686360674
1784274300,2026-07-17,-1,14.016666666666667,0.5989010989010989,-7.309635507785607,CLEAN-TREND,PRE-OPEN,-54.5,21.025,42.05,28698.5,28720.0,-21.5,-44.5,STOP,10.1,143.75,0.6146844660194175,-0.2044935280004276
1784275800,2026-07-17,-1,21.05,0.1929824561403508,-2.0846804088788047,VIOLENT-WHIPSAW,PRE-OPEN,-35.75,31.575000000000003,63.150000000000006,28677.0,28613.85,63.15,124.8,TARGET,5.9,122.25,0.46956753870795515,0.020976294461012145
1784277480,2026-07-17,-1,17.733333333333334,0.3507462686567164,-2.4737224740776904,BUILDING,PRE-OPEN,-47.0,26.6,53.2,28568.25,28595.25,-27.0,-55.5,STOP,6.3,13.5,0.44598456701914835,0.0979024779948806
1784281140,2026-07-17,1,13.433333333333334,0.3611111111111111,2.2878963211290166,BUILDING,PRE-OPEN,39.0,20.15,40.3,28707.25,28685.75,-21.5,-44.5,STOP,1.7,114.75,0.4933080978775179,-0.027586858678987004
1784289780,2026-07-17,-1,12.233333333333333,0.3871733966745843,-2.668675345355861,BUILDING,PRE-OPEN,-40.75,18.35,36.7,28703.5,28666.8,36.7,71.9,TARGET,23.0,68.5,0.4482068647067877,0.12251302611419707
