ts,day,hour,side,z,atr,ep,xp,why,pnl,pts,er15,ext,vol
1783403220,2026-07-07,5,-1,3.425284859635723,14.160714285714286,29657.0,29685.571428571428,STOP,-58.642857142855064,-28.571428571427532,0.3017456359102244,2.136191677175284,1257.0
1783415340,2026-07-07,9,-1,3.346727649088578,9.875,29674.25,29648.5,TIME,50.0,25.75,0.1067961165048543,0.5569620253164557,1031.0
1783432740,2026-07-07,13,-1,3.636078218988489,42.46428571428572,29469.5,29300.0,TIME,337.5,169.5,0.3918245264207378,-2.313708999158957,12558.0
1783449000,2026-07-07,18,1,-6.238343402941238,14.875,29516.25,29486.25,STOP,-61.5,-30.0,0.4042553191489361,-1.915966386554622,5958.0
1783481040,2026-07-08,3,-1,4.964191708791835,8.964285714285714,29500.5,29518.678571428572,STOP,-37.857142857144936,-18.178571428572468,0.3611111111111111,2.175298804780877,1444.0
1783491660,2026-07-08,6,1,-3.3927585111278065,10.857142857142858,29333.0,29311.035714285714,STOP,-45.42857142857247,-21.964285714286234,0.1661631419939577,-1.2664473684210529,1506.0
1783573920,2026-07-09,5,-1,6.917148758213538,17.053571428571427,29571.5,29517.25,TIME,107.0,54.25,0.1516314779270633,1.1581151832460734,4130.0
1783661460,2026-07-10,5,1,-4.970651609686918,9.267857142857142,29870.5,29851.714285714286,STOP,-39.07142857142753,-18.785714285713766,0.3333333333333333,-2.319845857418112,1509.0
1783707000,2026-07-10,18,-1,3.253460987326683,10.875,30057.75,30048.0,TIME,18.0,9.75,0.0936329588014981,0.5747126436781609,3919.0
1783711920,2026-07-10,19,-1,6.053008137239551,10.125,30054.5,30057.75,TIME,-8.0,-3.25,0.2479338842975206,1.4814814814814814,3857.0
1783713000,2026-07-10,19,-1,4.102585865876351,8.928571428571429,30055.5,30051.75,TIME,6.0,3.75,0.0325581395348837,0.196,3431.0
1783944660,2026-07-13,12,-1,7.17209098527561,13.375,29715.5,29678.25,TIME,73.0,37.25,0.0989010989010989,-0.6728971962616822,4408.0
1783949280,2026-07-13,13,1,-4.049828132598122,12.821428571428571,29709.75,29683.85714285714,STOP,-53.285714285717404,-25.892857142858702,0.3183520599250936,-1.657381615598886,3425.0
1783970580,2026-07-13,19,1,-5.702733550875157,15.142857142857142,29432.5,29401.964285714286,STOP,-62.57142857142753,-30.535714285713766,0.4608294930875576,-3.30188679245283,6387.0
1783987200,2026-07-14,0,-1,3.6364681426855903,19.160714285714285,29443.0,29427.75,TIME,29.0,15.25,0.5977653631284916,4.188257222739981,4460.0
1784104980,2026-07-15,8,1,-4.454879012681911,10.607142857142858,29917.75,29950.0,TIME,63.0,32.25,0.1961722488038277,0.9663299663299664,1115.0
1784173560,2026-07-16,3,1,-3.018642544748974,9.892857142857142,29713.25,29732.25,TIME,36.5,19.0,0.4199134199134199,-2.4512635379061374,1397.0
1784283960,2026-07-17,10,1,-3.202920332355109,17.089285714285715,28750.75,28801.5,TIME,100.0,50.75,0.0384615384615384,-0.3510971786833856,1298.0
1785126900,2026-07-27,4,1,-3.2823018697538906,11.607142857142858,28643.0,28641.25,TIME,-5.0,-1.75,0.0143266475644699,-0.1076923076923076,671.0
1785138360,2026-07-27,7,-1,6.785746767255987,8.910714285714286,28699.75,28687.0,TIME,24.0,12.75,0.017391304347826,-0.1122244488977955,1174.0
