tm,mv,cl,top15,atr,er,ext,zmax,dpmax,volz,flow10,aligned
08-13 13:32,236,OPEN/NEWS,True,11.142857142857142,0.1287128712871287,-0.875,8.172219953013236,27.75,0.3614889738524905,-1186.0,False
08-11 13:24,-137,OPEN/NEWS,True,9.5,0.182108626198083,-1.5,3.098187298547538,15.5,-0.30503580816723824,791.0,False
08-11 13:51,124,OPEN/NEWS,True,35.964285714285715,0.1333333333333333,-1.0287984111221449,3.380094042174221,48.75,3.656143815189454,-1135.0,False
08-10 13:56,109,OPEN/NEWS,True,34.410714285714285,0.119754350051177,0.8500259470679813,3.916004871933716,27.75,3.05670811667984,-3868.0,False
08-13 15:22,-98,UNCLASS,True,14.696428571428571,0.1538461538461538,0.9526123936816524,2.298115513094092,14.75,0.6174878183678465,1811.0,False
08-14 14:13,-98,OPEN/NEWS,True,20.107142857142858,0.0142630744849445,-0.1119005328596802,2.533334806961578,22.0,1.9465221728770647,-3111.0,True
08-10 14:45,-90,OPEN/NEWS,True,20.160714285714285,0.0541666666666666,-0.3224092116917626,2.0745551278425323,19.0,1.1427395971100285,-1571.0,True
08-11 14:55,-89,OPEN/NEWS,True,17.107142857142858,0.3486238532110092,2.221294363256785,0.9427727090397438,22.75,1.483291737461201,2840.0,False
08-12 12:25,87,VACUUM,True,8.267857142857142,0.0958904109589041,0.634989200863931,0.7936277106828489,13.5,-0.5253265756952232,68.0,True
08-10 16:29,-84,UNCLASS,True,13.660714285714286,0.0180722891566265,-0.1098039215686274,0.9693085998808696,10.5,0.25623590849670225,-515.0,True
08-14 13:22,-80,OPEN/NEWS,True,8.089285714285714,0.5491329479768786,-2.9359823399558502,1.2037204724574968,6.5,-0.325384734136024,-317.0,True
08-10 15:40,76,UNCLASS,True,16.5,0.0745098039215686,-0.5757575757575758,1.524872960169012,13.25,0.6376418312526402,-1888.0,False
08-13 14:20,75,OPEN/NEWS,True,14.303571428571429,0.3831775700934579,2.866416978776529,1.7281616924721344,15.25,1.0799386014477415,2123.0,True
08-10 13:20,-74,OPEN/NEWS,True,10.339285714285714,0.3214285714285714,2.1761658031088085,2.651649383114787,14.25,-0.2099572057958429,333.0,False
08-11 00:02,74,VACUUM,False,10.553571428571429,0.3886792452830189,-2.439932318104907,5.597392030878954,13.75,-0.24141617755218397,-1339.0,False
08-14 15:11,-73,UNCLASS,False,13.857142857142858,0.5313531353135313,-2.904639175257732,1.477124044332803,12.5,1.0814589235028804,-1995.0,True
08-11 08:03,-72,UNCLASS,False,9.5,0.1872791519434629,1.394736842105263,2.5841520276640355,9.75,-0.5040420669232749,531.0,False
08-11 10:13,70,UNCLASS,False,7.196428571428571,0.2849740932642487,-1.9106699751861045,3.629589734201688,9.25,-0.6257457965680049,-407.0,False
08-10 12:09,-67,UNCLASS,False,12.339285714285714,0.1063829787234042,0.8104196816208394,2.517031227462628,18.5,-0.47433731292286363,210.0,False
08-10 10:57,-66,UNCLASS,False,6.910714285714286,0.208695652173913,1.7364341085271318,3.293890628899763,12.5,-0.6180272384419138,-403.0,True
08-11 06:18,-66,UNCLASS,False,6.714285714285714,0.0059880239520958,0.0372340425531914,2.830848955807673,6.5,-0.6072680362055444,298.0,False
08-11 10:53,64,UNCLASS,False,5.107142857142857,0.2459016393442623,1.4685314685314683,0.9919475526422868,4.25,-0.6398185212322418,-204.0,False
08-11 01:09,63,UNCLASS,False,8.571428571428571,0.5195530726256983,-2.7125,3.49185410978388,13.25,-0.3692791606510675,235.0,True
